-- BATCH 4
INSERT INTO sales_logs (restaurant_id, item_name, quantity, sale_date) VALUES
('Mumbai', 'Veg Pulao', 2350, '2023-06-17'),
('Mumbai', 'Salt', 1240, '2023-06-17'),
('Mumbai', 'Veg Burger', 630, '2023-06-17'),
('Mumbai', 'Ice Cream', 610, '2023-06-17'),
('Mumbai', 'Wheat Flour', 1800, '2023-06-17'),
('Mumbai', 'Wheat Flour', 1760, '2023-06-17'),
('Mumbai', 'Cauliflower', 1610, '2023-06-18'),
('Mumbai', 'Rasgulla', 50, '2023-06-18'),
('Mumbai', 'Wheat Flour', 680, '2023-06-18'),
('Mumbai', 'Turmeric Powder', 580, '2023-06-18'),
('Mumbai', 'Rasgulla', 930, '2023-06-18'),
('Mumbai', 'Gulab Jamun', 1980, '2023-06-18'),
('Mumbai', 'Cabbage', 130, '2023-06-18'),
('Mumbai', 'Carrot', 530, '2023-06-18'),
('Mumbai', 'Milkshake', 670, '2023-06-18'),
('Mumbai', 'Potato', 1490, '2023-06-18'),
('Mumbai', 'Chole without Onion/Garlic', 1300, '2023-06-18'),
('Mumbai', 'Tomato', 1760, '2023-06-18'),
('Mumbai', 'Milkshake', 820, '2023-06-18'),
('Mumbai', 'Plain Dosa', 1730, '2023-06-18'),
('Mumbai', 'Cauliflower', 690, '2023-06-18'),
('Mumbai', 'Cabbage', 300, '2023-06-18'),
('Mumbai', 'Milkshake', 1610, '2023-06-18'),
('Mumbai', 'Carrot', 1300, '2023-06-18'),
('Mumbai', 'Samosa', 250, '2023-06-19'),
('Mumbai', 'Samosa', 1700, '2023-06-19'),
('Mumbai', 'Samosa', 460, '2023-06-19'),
('Mumbai', 'Ginger', 680, '2023-06-19'),
('Mumbai', 'Rasgulla', 1630, '2023-06-19'),
('Mumbai', 'Paneer', 1100, '2023-06-19'),
('Mumbai', 'Milkshake', 710, '2023-06-19'),
('Mumbai', 'Ice Cream', 1870, '2023-06-19'),
('Mumbai', 'Chole without Onion/Garlic', 1010, '2023-06-19'),
('Mumbai', 'Sabudana Khichdi', 410, '2023-06-19'),
('Mumbai', 'Veg Burger', 1450, '2023-06-19'),
('Mumbai', 'Milk', 1460, '2023-06-19'),
('Mumbai', 'Cauliflower', 1480, '2023-06-20'),
('Mumbai', 'Ice Cream', 1400, '2023-06-20'),
('Mumbai', 'Idli', 1090, '2023-06-20'),
('Mumbai', 'Veg Pulao', 4350, '2023-06-20'),
('Mumbai', 'Cauliflower', 120, '2023-06-20'),
('Mumbai', 'Cumin Seeds', 390, '2023-06-20'),
('Mumbai', 'Veg Burger', 1930, '2023-06-20'),
('Mumbai', 'Potato', 1090, '2023-06-20'),
('Mumbai', 'Wheat Flour', 380, '2023-06-20'),
('Mumbai', 'Plain Dosa', 1290, '2023-06-20'),
('Mumbai', 'Aloo Paratha', 1760, '2023-06-20'),
('Mumbai', 'Paneer', 1810, '2023-06-20'),
('Mumbai', 'Ice Cream', 430, '2023-06-20'),
('Mumbai', 'Turmeric Powder', 140, '2023-06-20'),
('Mumbai', 'Veg Burger', 350, '2023-06-20'),
('Mumbai', 'Paneer', 1280, '2023-06-20'),
('Mumbai', 'Ginger', 9500, '2023-06-20'),
('Mumbai', 'Cauliflower', 150, '2023-06-20'),
('Mumbai', 'Potato', 1330, '2023-06-20'),
('Mumbai', 'Ginger', 1950, '2023-06-21'),
('Mumbai', 'Cabbage', 200, '2023-06-21'),
('Mumbai', 'Samosa', 1510, '2023-06-21'),
('Mumbai', 'Lassi', 530, '2023-06-21'),
('Mumbai', 'Veg Burger', 810, '2023-06-21'),
('Mumbai', 'Idli', 640, '2023-06-21'),
('Mumbai', 'Ice Cream', 1600, '2023-06-21'),
('Mumbai', 'Veg Burger', 590, '2023-06-21'),
('Mumbai', 'Potato', 690, '2023-06-21'),
('Mumbai', 'Rice', 1460, '2023-06-21'),
('Mumbai', 'Plain Dosa', 1470, '2023-06-21'),
('Mumbai', 'Pani Puri', 1760, '2023-06-21'),
('Mumbai', 'Turmeric Powder', 240, '2023-06-21'),
('Mumbai', 'Ginger', 1290, '2023-06-21'),
('Mumbai', 'Turmeric Powder', 1110, '2023-06-21'),
('Mumbai', 'Plain Dosa', 70, '2023-06-21'),
('Mumbai', 'Tomato', 930, '2023-06-21'),
('Mumbai', 'Idli', 860, '2023-06-21'),
('Mumbai', 'Ginger', 290, '2023-06-21'),
('Mumbai', 'Coriander Leaves', 1400, '2023-06-22'),
('Mumbai', 'Potato', 1410, '2023-06-22'),
('Mumbai', 'Milkshake', 1300, '2023-06-22'),
('Mumbai', 'Plain Dosa', 540, '2023-06-22'),
('Mumbai', 'Rasgulla', 490, '2023-06-22'),
('Mumbai', 'Cabbage', 1860, '2023-06-22'),
('Mumbai', 'Pani Puri', 550, '2023-06-22'),
('Mumbai', 'Chole without Onion/Garlic', 1270, '2023-06-22'),
('Mumbai', 'Cumin Seeds', 1400, '2023-06-22'),
('Mumbai', 'Rice', 350, '2023-06-22'),
('Mumbai', 'Aloo Paratha', 1190, '2023-06-22'),
('Mumbai', 'Samosa', 660, '2023-06-22'),
('Mumbai', 'Potato', 1430, '2023-06-22'),
('Mumbai', 'Cabbage', 710, '2023-06-22'),
('Mumbai', 'Idli', 1140, '2023-06-22'),
('Mumbai', 'Cauliflower', 560, '2023-06-22'),
('Mumbai', 'Chole without Onion/Garlic', 1970, '2023-06-22'),
('Mumbai', 'Ice Cream', 510, '2023-06-22'),
('Mumbai', 'Pani Puri', 1890, '2023-06-23'),
('Mumbai', 'Cauliflower', 1340, '2023-06-23'),
('Mumbai', 'Pani Puri', 840, '2023-06-23'),
('Mumbai', 'Gulab Jamun', 820, '2023-06-23'),
('Mumbai', 'Pani Puri', 750, '2023-06-23'),
('Mumbai', 'Pani Puri', 720, '2023-06-23'),
('Mumbai', 'Veg Burger', 1160, '2023-06-23'),
('Mumbai', 'Cauliflower', 190, '2023-06-23');

-- BATCH 5
INSERT INTO sales_logs (restaurant_id, item_name, quantity, sale_date) VALUES
('Mumbai', 'Carrot', 1480, '2023-06-23'),
('Mumbai', 'Potato', 720, '2023-06-23'),
('Mumbai', 'Cabbage', 60, '2023-06-23'),
('Mumbai', 'Veg Pulao', 590, '2023-06-23'),
('Mumbai', 'Lassi', 1100, '2023-06-23'),
('Mumbai', 'Potato', 390, '2023-06-23'),
('Mumbai', 'Wheat Flour', 1920, '2023-06-23'),
('Mumbai', 'Potato', 290, '2023-06-24'),
('Mumbai', 'Cauliflower', 170, '2023-06-24'),
('Mumbai', 'Rice', 170, '2023-06-24'),
('Mumbai', 'Paneer Butter Masala', 690, '2023-06-24'),
('Mumbai', 'Veg Burger', 9350, '2023-06-24'),
('Mumbai', 'Veg Burger', 1290, '2023-06-24'),
('Mumbai', 'Idli', 1740, '2023-06-24'),
('Mumbai', 'Milkshake', 1650, '2023-06-24'),
('Mumbai', 'Sabudana Khichdi', 1180, '2023-06-24'),
('Mumbai', 'Aloo Paratha', 330, '2023-06-24'),
('Mumbai', 'Sabudana Khichdi', 1630, '2023-06-24'),
('Mumbai', 'Lassi', 160, '2023-06-24'),
('Mumbai', 'Lassi', 300, '2023-06-24'),
('Mumbai', 'Wheat Flour', 1380, '2023-06-24'),
('Mumbai', 'Idli', 1280, '2023-06-25'),
('Mumbai', 'Veg Burger', 270, '2023-06-25'),
('Mumbai', 'Tomato', 810, '2023-06-25'),
('Mumbai', 'Ice Cream', 960, '2023-06-25'),
('Mumbai', 'Paneer', 1500, '2023-06-25'),
('Mumbai', 'Lassi', 1080, '2023-06-25'),
('Mumbai', 'Pani Puri', 1850, '2023-06-25'),
('Mumbai', 'Ginger', 1770, '2023-06-25'),
('Mumbai', 'Milkshake', 1050, '2023-06-25'),
('Mumbai', 'Rice', 1200, '2023-06-25'),
('Mumbai', 'Gulab Jamun', 1090, '2023-06-25'),
('Mumbai', 'Ice Cream', 380, '2023-06-25'),
('Mumbai', 'Salt', 470, '2023-06-25'),
('Mumbai', 'Milkshake', 1800, '2023-06-25'),
('Mumbai', 'Paneer Butter Masala', 1910, '2023-06-25'),
('Mumbai', 'Samosa', 1680, '2023-06-25'),
('Mumbai', 'Samosa', 860, '2023-06-25'),
('Mumbai', 'Veg Burger', 1310, '2023-06-25'),
